clause_id,clause_text,true_label,bert_label,svm_label,hybrid_label,used_model,bert_confidence,bert_margin,clause_length,short_clause
503,"[""pagemaster corporations' liability shall in no event exceed an amount equivalent to the amounts received by pagemaster corporation hereunder.""]",Cap On Liability,Cap On Liability,Cap On Liability,Cap On Liability,Agreement,0.6359,0.4516,19,True
504,"['as used in this agreement:<omitted>4.2.2 the term ""commission"" will mean the total fees paid in cash to us, by insurance carriers as a percentage of the premiums generated by insurance policies sold by the franchised business, on all new and renewal policies.', 'we will receive all commissions (defined below) from insurance carriers.']",Revenue/Profit Sharing,Revenue/Profit Sharing,Insurance,Insurance,SVM,0.3261,0.1147,52,False
505,"[""upon thirty (30) days prior written notice from an auditing party, the audited party shall permit the auditing party's external auditors access to any relevant books documents, papers, and records of the party involving any report delivered pursuant to sections 3.2(d), 3.4(d) and 4.3(a) of this agreement and the activities performed under this agreement, if the other party has credible evidence that the other party violated terms of this agreement, including with respect to product training under section 3(e)."", 'upon thirty (30) days prior written notice from a party (the ""auditing party""), the other party (the ""audited party"") shall permit an independent certified public accounting firm of nationally recognized standing selected by the auditing party and reasonably acceptable to the audited party, to examine, at the auditing party\'s sole expense, the relevant books and records of the audited party and its affiliates as may be reasonably necessary to verify the accuracy of the reports submitted by the audited party in accordance with sections 3.4(d), 4.1(c) and 4.3(a) and the payment of promotion fees hereunder.']",Audit Rights,Audit Rights,Audit Rights,Audit Rights,DistilBERT,0.8654,0.8548,174,False
506,"[""solely in the event that this agreement is terminated by bioeq pursuant to sections 15.2.1, 15.2.2, 15.2.3, 15.2.4, 15.2.8 or 15.2.9 or by licensee pursuant to section 15.2.5 , licensee shall grant, and hereby grants to bioeq an exclusive, royalty-free, fully paid, sublicenseable, license to use the licensee-controlled trademarks which were actually used by licensee to commercialize the licensed products in the territory in connection with bioeq's commercialization of the licensed products in the territory. i"", 'licensee hereby grants to bioeq during the term of this agreement (and, subject to section 15.3.4, after termination<omitted>or expiration of this agreement) a non-exclusive, fully-paid, irrevocable license (including the right to grant sublicenses) under all intellectual property rights and know-how controlled by licensee and embodied within, or claiming or covering the licensee improvements, to develop, manufacture, sell, import, or otherwise commercialize licensed products outside of the territory.', 'subject to the provisions of this agreement, bioeq hereby grants to licensee an exclusive (even as to bioeq), milestone- and royalty-bearing, non-transferable license (including the right to grant sublicenses only to the extent permitted by section 2.1.2) under the licensed technology (including the licensed patents) to use, sell, have sold, import, have imported or otherwise commercialize the licensed products in the field in the territory.', ""for those countries where a specific license is required for a joint owner of a joint invention or joint improvement to practice such joint invention or joint improvement, in such country, each party hereby grants to the other party a perpetual, irrevocable, non-exclusive, worldwide, royalty-free, fully paid-up license, transferable and sublicensable, under such party's right, title and interest in and to such joint invention or joint improvement to freely exploit such joint invention or joint improvement in such country, subject to the terms and conditions of this agreement and the licenses granted hereunder.""]",License Grant,License Grant,Irrevocable Or Perpetual License,Irrevocable Or Perpetual License,SVM,0.4259,0.2636,301,False
507,"['if termination occurs after you begin the hotel work but before the opening date, you will pay us liquidated damages in an amount equal to $3,600 multiplied by the number of approved guest rooms at the hotel, unless your failure to complete the hotel work was the result of force majeure.', 'if termination occurs after the effective date but before the second anniversary of the opening date, you will pay us liquidated damages in an amount equal to $3,600 multiplied by the number of approved guest rooms at the hotel.', 'the parties acknowledge that liquidated damages payable by you under this agreement (whether pre-opening liquidated damages or liquidated damages for early termination) are not punitive or exemplary damages.', 'if there are less than sixty (60) months remaining in the term on the date of termination, you will pay us liquidated damages in an amount calculated by dividing the sum of the monthly royalty fees due to us under this agreement for the prior twenty-four (24) month period by twenty-four (24) and then multiplying the resulting sum by the number of months remaining in the term.', ""if this agreement terminates before the expiration date, you will pay us liquidated damages as follows: 14.4.1.1 if termination occurs before you begin the hotel work and before the opening date, and you or any guarantor (or your or any guarantor's affiliates) directly or indirectly, enter into a franchise, license, management, lease and/or other similar agreement for or begin construction or commence operation of a hotel, motel, inn, or similar facility at the hotel site under a competitor brand within one (1) year after termination, then you will pay us liquidated damages in an amount equal to $3,600 multiplied by the number of approved guest rooms at the hotel."", 'payment of liquidated damages is due thirty (30) days following termination of this agreement or on demand.', 'if termination occurs after the second anniversary of the opening date but before the final five (5) calendar years of the term, you will pay us liquidated damages in an amount calculated by dividing the sum of the monthly royalty fees due to us under this agreement for the prior twenty-four (24) month period by twenty-four (24) and then multiplying the resulting sum by sixty (60).', 'you will pay us liquidated damages in the amount of five thousand dollars ($5,000) per day if you open the hotel before the opening date to compensate us for the damage caused by such breach.']",Liquidated Damages,Liquidated Damages,Liquidated Damages,Liquidated Damages,Agreement,0.2477,0.0987,412,False
508,"['subject to the terms and conditions of this agreement, green cross hereby grants to macrogenics a non- exclusive, royalty-free, perpetual license, with the right to grant and authorize the grant of sublicenses, to use all clinical data and any data generated by green cross or any of its representatives or independent contractors pursuant to its performing its responsibilities under this agreement for the research, development, manufacture commercialization and sales of mgah22 and products by macrogenics outside the territory and for macrogenics to exercise its rights and fulfill its obligations under this agreement.']",Irrevocable Or Perpetual License,License Grant,License Grant,License Grant,Agreement,0.392,0.2143,92,False
509,"['a minimum of [***] in mutually agreed upon eme financing will be contracted for by the parties, with a minimum of [***] of such aggregate amount to be contracted for in each of [***] and [***].']",Minimum Commitment,Minimum Commitment,Minimum Commitment,Minimum Commitment,Agreement,0.4505,0.3588,36,False
510,['this agreement shall be binding upon and inure to the benefit of the parties and their respective successors and permitted assigns; provided that this agreement shall not be assignable or otherwise transferable by any party without the prior written consent of the other party (which consent shall not be unreasonably withheld or delayed) and any purported assignment or transfer without such consent shall be null and void.'],Anti-Assignment,Anti-Assignment,Anti-Assignment,Anti-Assignment,DistilBERT,0.9296,0.919,67,False
511,"['neither party shall be liable, whether based on contract law, torts or any other area of law, for any indirect, incidental, special or consequential damages arising out of or in any way related to this agreement or its performance and the maximum total liability of either party whether based on<omitted>confidential treatment requested. information for which confidential treatment has been requested is omitted and marked with ""[***]"". an unredacted version of the document has also been furnished separately to the securities and exchange commission as required by rule 406 under the securities act of 1933, as amended. contract law, torts or any other area of law shall be limited to the amount [***].']",Cap On Liability,Cap On Liability,Cap On Liability,Cap On Liability,Agreement,0.6845,0.5003,112,False
512,"['both parties acknowledge and confirm that the reserve bank of india (hereafter ""rbi"") or persons authorized by it has right to access and inspect the pc financial\'s documents, records of service transactions and other necessary information related to the services or activity given to, stored or processed by mobimagic within a reasonable time.']",Audit Rights,Audit Rights,Audit Rights,Audit Rights,DistilBERT,0.8405,0.8239,53,False
513,"['at least eight (8) ""service days"", including but not limited to:\n\n1. production days. up to four (4) production days (defined as a maximum of eight (8) consecutive hours each), with papa john\'s creative agency.\n\n2. personal appearances. celebrity shall appear at least (each of the following not to exceed six (6) consecutive hours):\n\n(a) one (1) day engaging with franchisees and team members at company-wide event(s);\n\n(b) one (1) day visiting papa john\'s pizza stores, date and locations to be mutually agreed upon by the parties; and\n\n(c) one (1) day at a community event, date and location to be mutually agreed upon by the parties.']",Minimum Commitment,Minimum Commitment,Volume Restriction,Volume Restriction,SVM,0.2809,0.0717,102,False
514,"['neither party shall have any liability hereunder for any indirect, special, punitive or consequential damages including, without limitation, loss of profit or business opportunities, whether or not the party was advised of the possibility of such.']",Cap On Liability,Cap On Liability,Cap On Liability,Cap On Liability,Agreement,0.6949,0.5153,36,False
515,"['for the period beginning a reasonable time before the filing of the registration statement and for as long as moelis holdings is required to cause the registration statement to remain current under section 13.1(a)(ii), and except to the extent prohibited by applicable law and subject to entering into customary confidentiality agreements, after reasonable advance notice, make available for inspection by the smbc unit- holders, any underwriter participating in any disposition of the registrable securities, and any representative for the smbc unit-holders or such underwriter, during business hours and at the location designated by moelis holdings, any financial and other records and corporate documents of moelis holdings as will be reasonably necessary to enable them to conduct reasonable and customary due diligence with respect to moelis holdings and the related registration statement and prospectus, provided, however, that records, documents and information obtained hereunder will be used by such inspecting person only to conduct such due diligence;']",Audit Rights,Audit Rights,Audit Rights,Audit Rights,DistilBERT,0.8513,0.8384,155,False
516,"[""in consideration of the remuneration to be paid to abg pursuant hereto and subject to the conditions and limitations contained herein, abg grants to papa john's the non-transferrable, non-assignable, non-sublicensable, indivisible right and license solely during the term of the agreement and within the territory to use the celebrity endorsement, in each instance, subject to abg's approval (as hereinafter defined).""]",Non-Transferable License,Non-Transferable License,Non-Transferable License,Non-Transferable License,Agreement,0.2944,0.0186,60,False
517,"['cytodyn shall have the right to terminate this agreement in its entirety upon written notice to vyera on the occurrence of any of the following:<omitted>(d) upon [***] written notice, in the event vyera fails to meet any of the minimum requirements and has not cured such failure, to the extent curable, within such notice period;', 'vyera shall conduct the commercialization activities in accordance with the commercialization plan and in performing such activities will ensure that it meets or exceeds the minimum requirements.']",Minimum Commitment,Termination For Convenience,Minimum Commitment,Termination For Convenience,DistilBERT,0.708,0.6486,82,False
518,"['in consideration for such training, trade secrets and confidential information, you and your principals agree that during the term of this agreement, and for a continuous uninterrupted period commencing upon expiration or termination of this agreement, regardless of the cause for termination, and continuing for a period of three (3) years thereafter, neither you nor your principals shall, directly or indirectly, for themselves, or through, on behalf of, or in conjunction with any person, persons, partnership, limited liability company or corporation: 7.1.1 divert or attempt to divert any business or customer of the franchised business or any unit franchisee anywhere, by direct or indirect inducement or otherwise, or do or perform, directly or indirectly, any other act injurious or prejudicial to the goodwill associated with our proprietary marks or the system.']",Non-Disparagement,No-Solicit Of Employees,No-Solicit Of Customers,No-Solicit Of Customers,SVM,0.155,0.029,131,False
519,"[""each station will provide network with up to 5.0 mbps, but, at all times, not less than 2.0 mbps, for this purpose, except as required in infrequent and exceptional circumstances resulting from a station's carriage of the primary television network with which such station is affiliated with regard to its primary feed (e.g., abc, cbs, nbc and fox)"", 'affiliate shall actively promote the service consistent with its business judgment, including the broadcast by each station transmitting the service of an average of at least ten (10) thirty (30)-second promotional announcements per week for the service (""promotional spots"") on the station\'s primary feed, including the station\'s analog signal for so long as the station broadcasts an analog signal, on a run-of- station basis, commencing no later than the first air date of the service on the applicable station.']",Minimum Commitment,Minimum Commitment,Volume Restriction,Volume Restriction,SVM,0.2543,0.0566,137,False
520,"['any marketing exclusivity set forth in the agreement summary shall not preclude or prevent (a) signage, advertising and promotional arrangements made by the office of the commissioner of baseball with respect to nationally-televised games, all-star games, world baseball classic games, playoff games and world series games, (b) licensing arrangements made by major league baseball properties, inc. with respect to such category, (c) advertising with respect to such category in game programs, yearbooks, scorecards and similar publications which are sold on the day of an event other than padres home games, (d) the display before, during and after an event of displays, temporary in nature, erected by an event sponsor, promoter, broadcaster or participant, even though such display may constitute advertising with respect to such category, (e) promotional messages displayed on a scoreboard or video board which give the name of the sponsor of ballpark day-of-event promotions at events other than padres home games or promote sale of event-day programs (including identifying program sponsors), even though such messages may identify companies in such category and (f) promotional messages displayed on a scoreboard or video board that recognize groups in attendance and make similar incidental references, even though such messages may identify companies in such category.']",Competitive Restriction Exception,Non-Compete,Exclusivity,Exclusivity,SVM,0.2221,0.1128,204,False
521,"['company agrees that no other distributor will be appointed in any other state as a distributor unless it is either the company or distributor, save and except for the state of florida.', ""company hereby appoints distributor as company's exclusive distributor for the state of texas, and distributor accepts the appointment and agrees to represent the products within the territory.""]",Exclusivity,Exclusivity,Exclusivity,Exclusivity,Agreement,0.3716,0.3037,59,False
522,"['bioamber hereby grants cargill, and cargill hereby accepts, an exclusive, worldwide, royalty-free license with an unlimited right to sublicense under and to bioamber improvements for use outside the field during the term of this development agreement. such use shall be for research purposes only.']",Unlimited/All-You-Can-Eat-License,License Grant,Exclusivity,Exclusivity,SVM,0.4063,0.2559,44,False
523,"['the bsp may after giving due consideration to all circumstances and not acting unreasonably, terminate this agreement by giving written notice to datec if there is a change of control or major shareholding of datec.', 'if the bsp gives such a notice of termination, then:\n\n (a) if the change of control:\n\n (i) results in a competitor of the bsp controlling datec or\n\n (ii) is reasonably likely in the bsp\'s opinion, to have a detrimental effect on datec\'s ability to provide the services in accordance with the agreement,\n\nthen the bsp will pay datec according to section 14 - ""termination"" of this agreement and the termination table in schedule c.']",Change Of Control,Change Of Control,Change Of Control,Change Of Control,Agreement,0.5233,0.4297,108,False
524,"['mkos will have 30-days from receipt of information to determine if they wish to go forward with the technology license. utek, after 30 days, shall have the right to present the technology to other clients.']",Rofr/Rofo/Rofn,Warranty Duration,Rofr/Rofo/Rofn,Rofr/Rofo/Rofn,SVM,0.1225,0.0205,35,False
525,"['each party shall provide a certificate of insurance (or evidence of self-insurance) evidencing such coverage to the other party upon reques', 'each party shall provide the other party with prompt written notice of any cancellation, non-renewal or material change in such insurance that could materially adversely affect the rights of the other party hereunder, and shall provide such notice within thirty (30) days after any such cancellation, non-renewal or material change.', 'each party, at its own expense, shall maintain comprehensive general liability, product liability and other appropriate insurance for the activities such party undertakes pursuant to this agreement, from reputable and financially secure insurance carriers in a form and at levels consistent with sound business practice and adequate in light of its obligations under this agreement.']",Insurance,Insurance,Insurance,Insurance,DistilBERT,0.8706,0.8594,126,False
526,"['in the event of termination of this agreement under the provisions of this article vii galen shall not be relieved of the duty and obligations to pay in full, any payments due and unpaid at the effective date of such termination. in such event galen shall:<omitted>(c) if galen is then the owner of any patents specifically related to the combination product, galen shall transfer such ownership to leo, except for leo being in breach in which case galen will sell said patents and leo will purchase said patents at a price equal to the expenses galen has borne in relation to developing, establishing and maintaining said patent rights;\n\n (d) if galen is then the owner of any patents, which in part relates to the combination product then leo, its affiliates and partners shall have a royalty free license to such patents for the term of the patents;\n\n (e) if galen is then the owner of any data related to the combination product, including, but not limited to, any data related to any study performed under this agreement such data shall be transferred to leo. at such time, leo shall have the right, but not the obligation, to have assigned to leo any third party clinical agreement then pending;\n\n (f) galen shall transfer the nda, the ind and any other relevant registrations related to the combination product held by galen, if any, to leo or its designee.']",Post-Termination Services,Ip Ownership Assignment,Post-Termination Services,Post-Termination Services,SVM,0.284,0.1271,236,False
527,"[""in order to manage demand fluctuations, contractor shall maintain an amount of additional units of each product as fgi, in a minimum level of two (2) weeks of supply and a maximum of four (4) weeks of supply of each product set forth in the most recent customer's forecast.""]",Minimum Commitment,Minimum Commitment,Minimum Commitment,Minimum Commitment,Agreement,0.4154,0.2784,49,False
528,"['wade represents and warrants that during the term and in the territory, neither wade nor any of his agents, representatives or employees will solicit, initiate, or encourage any proposal for an endorsement by wade of any innerwear to commence during the term, or participate in any discussions or negotiations for the same.']",Non-Compete,Non-Compete,Exclusivity,Exclusivity,SVM,0.1409,0.0198,52,False
529,"['accordingly, neither this agreement nor any part of your interest in it, nor any interest (as defined in paragraph 14.2) of franchise owner or a principal owner, may be transferred (see definition below) without our advance written approval if such transfer will result in the principal owner(s) set forth in exhibit 4 holding less than a seventy-five percent (75%) interest in franchise owner.<omitted>as used in this agreement the term ""transfer"" means any voluntary, involuntary, direct or indirect assignment, sale, gift, exchange, grant of a security interest, or occurrence of any other event which would or might change the ownership of any interest, and includes, without limitation: (1) the transfer of ownership of capital stock, partnership interest or other ownership interest (including the granting of options (such as stock options or any option which give anyone ownership rights now or in the future); (2) merger or consolidation, or issuance of additional securities representing an ownership interest in franchise owner; (3) sale of common stock of franchise owner sold pursuant to a private placement or registered public offering; (4) transfer of an interest in a divorce proceeding or otherwise by operation of law; or (5) transfer of an interest by will, declaration of or transfer in trust, or under the laws of intestate succession.']",Change Of Control,Change Of Control,Change Of Control,Change Of Control,Agreement,0.3765,0.1334,212,False
530,"['pursuant to exhibit e, iac shall provide the rma and repair services to sonos upon request for a minimum of [*] from the date on which sonos discontinues the sale of any product on the terms and conditions set forth therein.', 'iac hereby represents and warrants that for a period of [*] after the manufacturing date (the ""warranty period""), a product unit will be free from defects in manufacturing process and defects in workmanship, will conform to general expectations of performance of wireless audio products and will conform to the statement of work for the applicable product.']",Warranty Duration,Warranty Duration,Warranty Duration,Warranty Duration,Agreement,0.2956,0.1558,97,False
531,"['except for claims arising out of articles 4.3 and 7.0, or as may be set forth in a sow, neither party will be liable for any consequential damages, lost profits, lost savings, loss of anticipated revenue, or any exemplary, punitive, special or indirect damages, even if advised of their possibility.']",Uncapped Liability,Cap On Liability,Cap On Liability,Cap On Liability,Agreement,0.6929,0.5183,50,False
532,"['subject to the terms and conditions of this agreement, wgt grants to distributor a nontransferable license to do the following in the territory during the term:\n\n(a) market and distribute the product to resellers;\n\n(b) demonstrate the product to potential resellers;\n\n(c) use the product internally for the sole purpose of providing this product support specified in paragraph 4.1(c);\n\n(d) use and display the trademarks in connection with marketing and distributing the product in the territory pursuant to paragraphs (a) and (b) above.']",Non-Transferable License,License Grant,License Grant,License Grant,Agreement,0.4565,0.2799,79,False
533,"[""upon any termination or expiration of this agreement: (a) all sums due to either party from the other shall be promptly paid; (b) distributor orders received and accepted by staar prior to the effective date of the termination of this agreement shall be fulfilled in accordance with their terms; (c) all property belonging to one party but in the custody of the other shall be returned; (d) staar shall have the option to repurchase any or all current and resalable products in distributor's inventory at eighty percent (80%) of distributor's original net purchase price (reflecting a twenty percent (20%) restocking and administrative fee); (e) distributor shall cease all display, advertising and use of staar trade names, trademarks (including the trademarks), logos and designations, except uses on the products which remain in distributor's possession, and shall transfer all registrations and sponsorships for the products to staar or its designee;""]",Post-Termination Services,Post-Termination Services,Post-Termination Services,Post-Termination Services,Agreement,0.6415,0.6003,148,False
534,"['excepting only claims made pursuant to section 12.1, in no event will either party be liable for any indirect, special, incidental, exemplary, punitive or consequential damages of any kind, including any lost profits, lost revenues or lost savings, arising out of or in connection with this agreement and/or the products, whether in contract, tort, strict liability or otherwise, even if the party has been advised, knows or should know, or is otherwise aware of the possibility of such damages.']",Uncapped Liability,Cap On Liability,Cap On Liability,Cap On Liability,Agreement,0.6877,0.5019,79,False
535,"['the rights of developer under this agreement shall immediately cease and be terminated upon the sale or transfer of all or substantially all of the assets of developer unless an assignment of such rights pursuant to such sale or transfer has been previously approved in writing by dss.', 'the rights of developer under this agreement shall immediately cease and be terminated upon the sale or transfer of no less than a majority of, or a controlling interest in or over, the voting capital or ownership capital of developer unless an assignment of such rights pursuant to such sale or transfer has been previously approved in writing by dss.']",Change Of Control,Anti-Assignment,Anti-Assignment,Anti-Assignment,Agreement,0.3088,0.024,108,False
536,['neither party shall assign this development agreement or the obligations contained herein without the express written consent of the other party.'],Anti-Assignment,Anti-Assignment,Anti-Assignment,Anti-Assignment,DistilBERT,0.9347,0.9248,21,False
537,"[""turpin shall deliver to the company all work product and company property, including all originals and copies thereof, in turpin's possession and/or control, at the request of the company, or, in the absence of such a request, upon the termination of turpin's employment with the company.""]",Post-Termination Services,Post-Termination Services,Post-Termination Services,Post-Termination Services,Agreement,0.5882,0.5325,46,False
538,"['notwithstanding section 7.1 above, this agreement may be terminated upon the occurrence of any of the following events:\n\n\n (a) at the election of either party, in writing, if: (i) all or substantially all of the assets of the non-terminating party are transferred, sold or liquidated;<omitted>or (v) the ownership or operations of the non-terminating party have materially changed;']",Change Of Control,Change Of Control,Change Of Control,Change Of Control,Agreement,0.4387,0.3067,57,False
539,"['either party may terminate the project and all commitments and obligations with respect thereto, subject to section 8.3 herein, upon thirty (30) days written notice to the other party.', 'this agreement may be terminated by artara upon thirty (30) days prior written notice to university.']",Termination For Convenience,Termination For Convenience,Termination For Convenience,Termination For Convenience,DistilBERT,0.8385,0.8156,45,False
540,"[""monsanto further agrees that it will in no way dispute, impugn or attack the validity of said canada marks or oms investments, inc.'s or the agent's rights thereto."", ""monsanto further agrees that it will in no way dispute, impugn or attack the validity of the additional roundup products trademarks or the respective owner's rights thereto.""]",Covenant Not To Sue,Covenant Not To Sue,Covenant Not To Sue,Covenant Not To Sue,Agreement,0.5152,0.4736,55,False
541,"['all such records shall be subject to inspection by an independent auditor designated by ceres and reasonably acceptable to iger within normal business hours with at least fourteen (14) days notice.', 'each party will have the right, upon reasonable notice to the other party, to visit any location where research project activities are conducted for the purposes of evaluating research project progress and outcomes, and particularly to make observations of any plants in growth chambers, greenhouses or fields that are a part of a research<omitted>project.', ""each party will comply with any reasonable safety and security measures which may be imposed by the other party when visiting such other party's location."", 'ceres shall allow an independent auditor, reasonably acceptable to ceres, appointed by and paid for by iger to inspect the records of ceres and any affiliated company pertaining to the licensed variety for the exclusive purpose of verifying the accuracy of the reports provided.']",Audit Rights,Audit Rights,Audit Rights,Audit Rights,DistilBERT,0.8665,0.856,154,False
542,"['a *donation of $0.05 per unit sold of licensed products within the contract territory payable to the **nfl alumni northern california chapter.', 'the nfla-nc will donate 15% of the above described proceeds to the nfla.', ""all payments shall be made by wire transfer drawn to the account of nfla-nc no later than ten (10) business days after the end of each quarter as follows: $0.05 per unit as described herein of company's products sold in the contract territory payable to nfla-nc.""]",Revenue/Profit Sharing,Revenue/Profit Sharing,Revenue/Profit Sharing,Revenue/Profit Sharing,Agreement,0.5802,0.4457,81,False
543,"[""the fund shall also furnish integrity upon request with: (a) annual audits of the fund's books and accounts made by independent public accountants regularly retained by the fund, (b) semi-annual unaudited financial statements pertaining to the fund, (c) quarterly earnings statements prepared by the fund, (d) a monthly itemized list of the securities in the portfolio of the fund, (e) monthly balance sheets as soon as practicable after the end of each month, and (f) from time to time such additional information regarding the fund's financial condition as integrity may reasonably request.""]",Audit Rights,Audit Rights,Audit Rights,Audit Rights,DistilBERT,0.8515,0.8353,92,False
544,"['utc, on behalf of itself and the other members of the utc group, hereby grants to otis, carrier and the other members of the otis group and the carrier group a limited, non-exclusive, non-transferable, personal and nonsublicensable right to continue temporarily to use, following the effective time, any united technologies trademark it is using immediately prior to the effective time, solely to the extent of such pre- separation use and in accordance with product quality standards and programs in place at the respective member of the otis group or the carrier group immediately prior to the effective time, and strictly in accordance with this section 4.2.3; provided that otis and carrier shall, and shall cause each of its respective affiliates (including, after the effective time, the members of, respectively, the otis group and the carrier group) (a) not to hold itself out as having any affiliation with utc or any member of the utc group (except to the extent a third party may infer such affiliation merely due to the limited use of the united technologies trademarks as contemplated herein), and (b) to use diligent efforts to eliminate use of the united technologies trademarks.']",Non-Transferable License,License Grant,Affiliate License-Licensor,Affiliate License-Licensor,SVM,0.3396,0.0583,194,False
545,"['except with respect to the indemnification obligations set forth in section 9 with regard to claims by third parties, in no event shall either party be liable for consequential, indirect, incidental, special, exemplary, punitive or enhanced damages, lost profits or revenues or diminution in value arising out of, relating to, or in connection with any breach of this agreement or claim hereunder, regardless of (a) whether such damages were foreseeable, (b) whether or not it was advised of the possiblity of such damages, and (c) the legal or equitable theory (contract, tort or otherwise) upon which the claim is based.']",Cap On Liability,Cap On Liability,Uncapped Liability,Uncapped Liability,SVM,0.6899,0.5076,100,False
546,"['subject to the terms and conditions of this agreement, licensor hereby grants to licensee, and licensee hereby accepts from licensor, an exclusive, non-transferable (except as set forth in section 10.7) and non-sublicensable (except as provided in section 2.1(c)) license to use the licensed domain names in connection with the business during the term.', 'subject to the terms and conditions of this agreement, licensor hereby grants to licensee, and licensee hereby accepts from licensor, an exclusive, non-transferable (except as set forth in section 10.7) and non-sublicensable (except as provided in section 2.1(c)) license to use the licensed content in connection with websites associated with the licensed domain names until the earlier of (i) termination or expiration of this agreement, or (ii) termination or expiration of the agency agreement, provided, however, that in the event the agency agreement is amended or restated, such amendment or restatement shall not be deemed a termination or expiration of the agency agreement.']",Exclusivity,License Grant,License Grant,License Grant,Agreement,0.3684,0.1102,156,False
547,"['individual grants lifeway together with its affiliates, subsidiaries, parent companies and their representatives and employees have an unlimited, perpetual, non-exclusive, worldwide and, except as set forth in section 9, royalty-free, right to use, reuse, publish, reproduce, perform, copy, create derivative works, exhibit, broadcast, and display throughout the world the name, image and likeness of individual in marketing materials (as defined below) in connection with marketing, advertising or otherwise promoting the lifeway products and/or services and for historical reference and display purposes and other internal purposes, including without limitation, internal sales meetings.']",Affiliate License-Licensee,License Grant,License Grant,License Grant,Agreement,0.317,0.1653,91,False
548,['title to all joint venture property will remain in the name of the joint venture.'],Anti-Assignment,Ip Ownership Assignment,Post-Termination Services,Post-Termination Services,SVM,0.2271,0.0261,15,True
549,"['fcc agrees to provide $5,000,000 of commercial liability insurance in support of this indemnity which names flotek as additional insured, with waiver of subrogation']",Insurance,Insurance,Insurance,Insurance,DistilBERT,0.8563,0.8426,24,False
550,"['any attempt to assign this agreement other than as permitted above will be null and void.', ""neither party may assign this agreement, in whole or in part, without the other party's written consent (which will not be unreasonably withheld), except that no such consent will be required in connection with (i) a merger, reorganization or sale of all, or substantially all, of such party's assets or (ii) the assignment and/or delegation of such party's rights and responsibilities hereunder to a wholly-owned subsidiary or joint venture in which that party holds an interest.""]",Anti-Assignment,Anti-Assignment,Anti-Assignment,Anti-Assignment,DistilBERT,0.9187,0.8971,92,False
551,"['each party shall maintain, at its own cost, comprehensive product liability insurance, general commercial liability insurance and business interruption insurance at a level which is reasonable and customary taking into account the nature of the product but which shall have combined limits of not less than $[**] per occurrence.', ""during the lease term, ppi shall:<omitted>maintain property damage and liability insurance and insurance against loss or damage to the transferred equipment as part of ppi's general liability insurance."", 'such insurance shall be with a reputable insurance company and where reasonably possible (taking into account the availability of such insurance) shall be maintained for not less than [**] ([**]) years following the expiry or termination of this agreement.', 'each party will provide to the other party evidence of its insurance and thirty (30) days prior written notice of any cancellation of its coverage or reduction in coverage from the requirements stated herein.']",Insurance,Insurance,Insurance,Insurance,DistilBERT,0.8755,0.8653,150,False
552,['party a shall not assign to any third party the functions and contents used in the website column(s) that are made the subject matter of this cooperation agreement.'],Non-Transferable License,Anti-Assignment,Anti-Assignment,Anti-Assignment,Agreement,0.301,0.1385,28,False
553,"['except for claims under section 9 hereof, the liability of a party to the other for direct damages shall not exceed fifteen million dollars.']",Cap On Liability,Cap On Liability,Cap On Liability,Cap On Liability,Agreement,0.6786,0.4945,24,False
554,"[""upon termination or expiration of this agreement, if the parties do not enter into a successor franchise agreement whereby the franchisee shall continue to be a franchisee and operate the franchised restaurant at the location, bkc or its designee shall have the option subject to obtaining any necessary governmental consent:\n\n (a) to purchase the location and/or any related equipment at fair market value, if the franchisee, any of the principals or an affiliate of the franchisee owns the location and/or related equipment.\n\n (b) if the location is leased by the franchisee, any of the principals or an affiliate of the franchisee, subject to obtaining any necessary landlord's consent, to obtain an assignment of the leasehold interest at a price equal to the fair market value of the leasehold interest."", 'neither the principals nor the franchisee shall directly or indirectly (through stock ownership, partnership, trust, joint venture, management contract, or otherwise) (a) have any interest in another ""fast food hamburger restaurant"" during the term of this agreement, or (b) for a period of one ye ar after termination or expiration of this agreement, have any interest in another fast food hamburger restaurant business at or within such distance of the location as is stated schedule 1.', 'the franchisee agrees, during the term of this agreement and thereafter, not to directly or indirectly engage in the operation of any restaurant, except as licensed by bkc, which utilizes or duplicates the burger king system or any part thereof.', ""upon termination or expiration of this agreement, if the parties do not enter into a successor franchise agreement whereby the franchisee shall continue to be a franchisee and operate the franchised restaurant at the location, bkc or its designee shall have the option subject to obtaining any necessary governmental consent:<omitted>(b) if the location is leased by the franchisee, any of the principals or an affiliate of the franchisee, subject to obtaining any necessary landlord's consent, to obtain an assignment of the leasehold interest at a price equal to the fair market value of the leasehold interest."", 'upon termination or expiration of this agreement, if the parties do not enter into a successor franchise agreement whereby the franchisee shall continue to be a franchisee and operate the franchised restaurant at the location, bkc or its designee shall have the option subject to obtaining any necessary governmental consent:\n\n (a) to purchase the location and/or any related equipment at fair market value, if the franchisee, any of the principals or an affiliate of the franchisee owns the location and/or related equipment.', ""the franchisee grants to bkc or its designee upon termination or expiration of this agreement, the option to purchase all usable paper goods, containers and printed menus bearing any of the burger king marks or trade names at the price paid by the franchisee and to purchase the franchisee's restaurant equipment, furniture, fixtures and signs at fair market value.""]",Post-Termination Services,Change Of Control,Post-Termination Services,Post-Termination Services,SVM,0.1608,0.0078,482,False
